Gene	Haploinsufficiency_Score	Triplosensitivity_Score	Haploinsufficiency_Description	Triplosensitivity_Description	Haploinsufficiency_DiseaseID	Triplosensitivity_DiseaseID
LMAN1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009206	NA
TWIST2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009203	NA
EIF2AK3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009192	NA
ROGDI	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009185	NA
TMC6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009176	NA
TMC8	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009176	NA
FLVCR2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009168	NA
EVC2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009162	NA
ADAMTS2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009161	NA
CDAN1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009135	NA
SEC23B	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009134	NA
DBH	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009123	NA
LCT	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009115	NA
SI	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009114	NA
GNPAT	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009112	NA
DPYS	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009111	NA
SLC7A7	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009109	NA
LRP2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009104	NA
LHX3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009091	NA
DLX5	0	0	No evidence available	No evidence available	MONDO:0009080	NA
DLX6	0	0	No evidence available	No evidence available	MONDO:0009080	NA
SEM1	0	0	No evidence available	No evidence available	MONDO:0009080	NA
LRPPRC	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009069	NA
SLC3A1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009067	NA
SLC7A9	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009067	NA
CFTR	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009061	NA
CTH	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009058	NA
CHST6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009020	NA
KERA	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009014	NA
WDPCP	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009008	NA
CNNM4	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009007	NA
VPS13B	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008999	NA
LBR	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008974	NA
CHD7	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008965	NA
LYST	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008963	NA
MYO5A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008962	NA
CYP27A1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0008948	NA
INPP5E	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008944	NA
CPN1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008910	NA
PMM2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008907	NA
BLM	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008876	NA
CYP4V2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0008865	NA
ABCG8	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008863	NA
MCCC1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008861	NA
