Gene	Haploinsufficiency_Score	Triplosensitivity_Score	Haploinsufficiency_Description	Triplosensitivity_Description	Haploinsufficiency_DiseaseID	Triplosensitivity_DiseaseID
TPSAB1	0	3	No evidence available	Sufficient evidence for dosage pathogenicity	NA	MONDO:0850201
FGF12	0	1	No evidence available	Little evidence for dosage pathogenicity	NA	MONDO:0100062
PTHLH	3	1	Sufficient evidence for dosage pathogenicity	Little evidence for dosage pathogenicity	MONDO:0013244	MONDO:0023599
PLP1	3	3	Sufficient evidence for dosage pathogenicity	Sufficient evidence for dosage pathogenicity	MONDO:0010714	MONDO:0010714
HUWE1	0	0	No evidence available	No evidence available	MONDO:0010407	MONDO:0010407
MECP2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010726	MONDO:0010283
SOX3	0	2	No evidence available	Some evidence for dosage pathogenicity	NA	MONDO:0010252
FBXW4	0	0	No evidence available	No evidence available	NA	MONDO:0009525
LBX1	0	0	No evidence available	No evidence available	NA	MONDO:0009525
POLL	0	0	No evidence available	No evidence available	NA	MONDO:0009525
ANKRD26	0	0	No evidence available	No evidence available	MONDO:0008555	MONDO:0008555
LMNB1	0	3	No evidence available	Sufficient evidence for dosage pathogenicity	NA	MONDO:0008215
PTPN11	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007979	MONDO:0008104
PMP22	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008087	MONDO:0007309
FOSL2	0	0	No evidence available	No evidence available	MONDO:0968978	NA
SRSF1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0957583	NA
PRR12	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0859193	NA
PRKAG2	0	0	No evidence available	No evidence available	MONDO:0800484	NA
SYNCRIP	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0800456	NA
LIPA	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0800449	NA
FLCN	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0800444	NA
NKX2-5	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0800441	NA
EIF2B1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0800439	NA
EIF2B3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0800439	NA
NFIB	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0800439	NA
ZMYND11	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0800439	NA
NGLY1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0800044	NA
PALB2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0700272	NA
BRCA2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0700269	NA
BRCA1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0700268	NA
SAMHD1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0700260	NA
JARID2	2	0	Some evidence for dosage pathogenicity	No evidence available	MONDO:0700092	NA
LEO1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0700092	NA
POMT1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0700070	NA
SLC1A2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100620	NA
ACTC1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100547	NA
KMT2B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100516	NA
UROD	2	0	Some evidence for dosage pathogenicity	No evidence available	MONDO:0100498	NA
KCNH1	0	0	No evidence available	No evidence available	MONDO:0100485	NA
GNB1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100465	NA
RPE65	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100368	NA
SLC12A1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100344	NA
FXN	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100340	NA
SDHAF1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100294	NA
BRWD3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100284	NA
TSPAN7	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100284	NA
ESCO2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0100253	NA
GALNT3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100252	NA
LAMA2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100228	NA
NDUFAF1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100224	NA
NDUFAF5	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100224	NA
NDUFB3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0100224	NA
NDUFS4	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0100224	NA
NDUFS6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100224	NA
NDUFV1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100224	NA
NDUFV2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100224	NA
DICER1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100216	NA
AMN	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100156	NA
CUBN	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100156	NA
DKC1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100152	NA
CTNS	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100151	NA
ARHGEF9	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100148	NA
IQSEC2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100148	NA
NLGN4X	2	0	Some evidence for dosage pathogenicity	No evidence available	MONDO:0100148	NA
SYN1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100148	NA
SATB2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100147	NA
NAA10	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100124	NA
RUNX1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100083	NA
SCN1A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100079	NA
ACTL6B	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0100062	NA
ALG13	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100062	NA
DNM1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100062	NA
GNAO1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100062	NA
KCNA2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100062	NA
FOXG1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100040	NA
ANK2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
ASH1L	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
ASTN2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
CAPRIN1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
CDC42BPB	2	0	Some evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
CHAMP1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
CHD5	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
CHD8	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
CIC	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
CLTC	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
CNOT1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
CNTN4	0	0	No evidence available	No evidence available	MONDO:0100038	NA
CSMD1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
CTNNA3	0	0	No evidence available	No evidence available	MONDO:0100038	NA
CTNND2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
DIP2A	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
DLG2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
DLG4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
EEF1A2	0	0	No evidence available	No evidence available	MONDO:0100038	NA
ELAVL2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
ERBB4	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
GABRA1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
GIGYF2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
GNAI1	0	0	No evidence available	No evidence available	MONDO:0100038	NA
GPHN	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
GRIN2A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
HIVEP3	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
HNRNPC	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
HNRNPU	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
ITSN1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
KATNAL2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
KCNC1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
KMT5B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
MBD5	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
MYH10	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
NBEA	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
NCKAP1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
NEDD9	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
NR4A2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
NRXN1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
NUS1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
PAX5	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
PHF12	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
PHF21A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
POU3F3	0	Not yet evaluated	No evidence available	Not yet evaluated	MONDO:0100038	NA
PURA	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
RALGAPB	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
RELN	0	0	No evidence available	No evidence available	MONDO:0100038	NA
RORB	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
RPL10	0	0	No evidence available	No evidence available	MONDO:0100038	NA
SCN2A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
SETD1B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
SETD2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
SHANK1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
SHANK2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
SLC4A10	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
SLC6A1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
SMC3	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
SPEN	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
SRRM2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
SRSF11	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
STAG1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
SYNGAP1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
TBR1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
TCF20	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
TCF7L2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
TNRC6B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
TRRAP	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
WDFY3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
YTHDC1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
YTHDF3	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
ZFHX4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
ZNF292	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100038	NA
PRRT2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100024	NA
SLC6A3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0054835	NA
GRIP1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0054737	NA
WDR26	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0054636	NA
SALL1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0054581	NA
PEX3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0054549	NA
COX20	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0044970	NA
COX6B1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0044970	NA
H1-4	0	0	No evidence available	No evidence available	MONDO:0044323	NA
MSH3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0044300	NA
PREPL	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0044299	NA
CEBPE	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0044207	NA
CDH23	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0037940	NA
PHIP	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0035133	NA
ARID2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0033492	NA
DLL1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0032877	NA
ZNF462	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0032836	NA
CNOT2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0032832	NA
TRHR	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0032819	NA
KMT2E	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0032793	NA
TMEM94	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0032672	NA
CACNA1E	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0032657	NA
TMCO1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0031329	NA
CAMK2B	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0030920	NA
CAMK2A	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0030919	NA
TRIP12	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0030914	NA
CNKSR2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0030909	NA
MSL3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0026730	NA
XIST	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0026404	NA
CTC1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0024564	NA
MLC1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0024555	NA
D2HGDH	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0024554	NA
SH2D1A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0024551	NA
PDX1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0024547	NA
HPGD	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0024546	NA
VLDLR	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0024542	NA
TTC37	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0024541	NA
SLC52A3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0024537	NA
MC2R	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0024536	NA
BMPR2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0024533	NA
PAX6	3	1	Sufficient evidence for dosage pathogenicity	Little evidence for dosage pathogenicity	MONDO:0024507	NA
APC	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0021057	NA
MPLKIP	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0021013	NA
MYSM1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0020856	NA
HMGA2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0020795	NA
ROBO3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0020790	NA
OCLN	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0020789	NA
RASA1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0020783	NA
CEP78	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0020778	NA
TYROBP	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0020749	NA
CYP24A1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0020739	NA
CLMP	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0020718	NA
SRY	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0020712	NA
B4GALT7	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0020682	NA
EBP	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0020603	NA
GPC3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0020602	NA
PHOX2B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0020493	NA
ITPR1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0020380	NA
TSEN54	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0020135	NA
KDM5C	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0020119	NA
NONO	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0020119	NA
PAK3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0020119	NA
STAG2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0020119	NA
USP9X	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0020119	NA
KCTD7	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0020074	NA
WNT7A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0019713	NA
ACTA2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0019625	NA
MYH11	0	0	No evidence available	No evidence available	MONDO:0019625	NA
SLC17A8	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0019587	NA
ERCC8	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0019569	NA
COL5A1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0019567	NA
MSRB3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0019497	NA
POU3F4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0019497	NA
SLC17A5	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0019366	NA
NSD1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0019349	NA
PEX1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0019234	NA
PEX16	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0019234	NA
PEX26	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0019234	NA
PITX2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0019187	NA
CLCN4	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0019181	NA
DLG3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0019181	NA
FTSJ1	2	0	Some evidence for dosage pathogenicity	No evidence available	MONDO:0019181	NA
ZNF41	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0019181	NA
PDHA1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0019169	NA
AR	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0019154	NA
REEP6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0019118	NA
NF1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0018975	NA
DYNC1H1	0	0	No evidence available	No evidence available	MONDO:0018894	NA
TP53	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0018875	NA
CEBPA	0	0	No evidence available	No evidence available	MONDO:0018874	NA
WAC	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0018760	NA
HNRNPK	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0018681	NA
PAX8	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0018612	NA
ABCD1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0018544	NA
ELANE	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0018542	NA
CTNNA1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0018502	NA
PLA2G6	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0018307	NA
CRPPA	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0018276	NA
LARGE1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0018276	NA
POMT2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0018276	NA
ST3GAL5	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0018274	NA
ATP6V0A2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0018163	NA
PSAT1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0018162	NA
GBA	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0018150	NA
GLB1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0018149	NA
CALM2	0	0	No evidence available	No evidence available	MONDO:0017990	NA
CASQ2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0017990	NA
RYR2	0	0	No evidence available	No evidence available	MONDO:0017990	NA
TRDN	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0017990	NA
FAS	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0017979	NA
PTEN	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0017623	NA
LAMA3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0017612	NA
LAMC2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0017612	NA
RFX6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0017400	NA
BMPR1A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0017380	NA
MAX	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0017366	NA
SDHAF2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0017366	NA
SDHB	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0017366	NA
SDHC	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0017366	NA
SDHD	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0017366	NA
TMEM127	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0017366	NA
COL3A1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0017314	NA
JAG1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0016862	NA
MEG3	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0016779	NA
DYM	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0016761	NA
ASPM	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0016660	NA
DSG2	2	0	Some evidence for dosage pathogenicity	No evidence available	MONDO:0016587	NA
PKP2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0016587	NA
ADGRV1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0016484	NA
BARD1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0016419	NA
CHEK2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0016419	NA
DSC2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0016342	NA
ZIC2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0016296	NA
RAD51D	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0016248	NA
FOXP2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0016226	NA
TP63	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0016044	NA
RAD21	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0016033	NA
PLOD1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0016002	NA
HNF4A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0015967	NA
FLG	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0015947	NA
MYH9	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0015912	NA
YARS1	0	0	No evidence available	No evidence available	MONDO:0015626	NA
CC2D2A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0015369	NA
CEP290	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0015369	NA
NPHP1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0015369	NA
TMEM231	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0015369	NA
TMEM67	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0015369	NA
DPAGT1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0015286	NA
BCHE	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0015270	NA
SCN5A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0015263	NA
MKKS	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0015229	NA
RAB3GAP2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0015159	NA
