Phenotype	Gene
Mitochondrial complex III deficiency, nuclear type 2 	TTC19, MC3DN2
Mitochondrial complex IV deficiency, nuclear type 1 	SURF1, CMT4K, MC4DN1
Mitochondrial complex IV deficiency, nuclear type 11 	COX20, FAM36A, MC4DN11
Mitochondrial complex IV deficiency, nuclear type 2 	SCO2, MC4DN2, MYP6
Mitochondrial complex IV deficiency, nuclear type 3 	COX10, MC4DN3
Mitochondrial myopathy, episodic, with optic atrophy and reversible leukoencephalopathy 	FDX2, FDX1L, MEOAL
Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency 	ECHS1, SCEH, ECHS1D
Mitochondrial trifunctional protein deficiency 	HADHA, MTPA
Miyoshi muscular dystrophy 1 	DYSF, LGMDR2, MMD1
Miyoshi muscular dystrophy 3 	ANO5, TMEM16E, GDD1, LGMDR12
Mohr-Tranebjaerg syndrome 	TIMM8A, DFN1, DDP, MTS, DDP1
Mononeuropathy of the median nerve, mild 	SH3TC2, KIAA1985, MNMN
Monosomy 7 myelodysplasia and leukemia syndrome 1 	SAMD9L, ATXPC, M7MLS1, SCA49
Monosomy 7 myelodysplasia and leukemia syndrome 2 	SAMD9, NFTC, MIRAGE, M7MLS2
Moyamoya disease 5 	ACTA2, ACTSA, AAT6, MYMY5
Mucopolysaccharidosis II 	IDS, MPS2, SIDS
Muenke syndrome 	FGFR3, ACH
Multiple endocrine neoplasia IIA 	RET, MEN2A, HSCR1
Multiple endocrine neoplasia IIB 	RET, MEN2A, HSCR1
Multiple mitochondrial dysfunctions syndrome 1 	NFU1, HIRIP, MMDS1
Multiple mitochondrial dysfunctions syndrome 3 	IBA57, C1orf69, MMDS3, SPG74
Multiple mitochondrial dysfunctions syndrome 6 	PMPCB, MPPB
Multiple pterygium syndrome, lethal type 	CHRNA1, ACHRD, CMS1B, CMS1A
Multiple pterygium syndrome, lethal type 	CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C
Multiple pterygium syndrome, lethal type 	CHRNG, ACHRG
Multisystemic smooth muscle dysfunction syndrome 	ACTA2, ACTSA, AAT6, MYMY5
Muscle glycogenosis 	PHKA1
Muscular dystrophy, congenital hearing loss, and ovarian insufficiency syndrome 	GGPS1, GGPPS1, MDHLO
Muscular dystrophy, congenital 	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS
Muscular dystrophy, congenital, due to ITGA7 deficiency 	ITGA7
Muscular dystrophy, congenital, megaconial type 	CHKB, CHKL, CKEKB, EKB, MDCMC
Muscular dystrophy, congenital, merosin deficient or partially deficient 	LAMA2, LAMM, MDC1A
Muscular dystrophy, congenital, with cataracts and intellectual disability 	INPP5K, SKIP, MDCCAID
Muscular dystrophy, limb-girdle, autosomal dominant 1 	DNAJB6, MRJ, DJ4, LGMDD1
Muscular dystrophy, limb-girdle, autosomal dominant 2 	TNPO3, TRNSR, LGMDD2
Muscular dystrophy, limb-girdle, autosomal dominant 3 	HNRNPDL, HNRPDL, JKTBP, LGMDD3
Muscular dystrophy, limb-girdle, autosomal dominant 4 	CAPN3, CANP3, LGMDR1, LGMDD4
Muscular dystrophy, limb-girdle, autosomal recessive 1 	CAPN3, CANP3, LGMDR1, LGMDD4
Muscular dystrophy, limb-girdle, autosomal recessive 10 	TTN, CMD1G, TMD, LGMDR10, MPRM, HMERF, SALMY
Muscular dystrophy, limb-girdle, autosomal recessive 12 	ANO5, TMEM16E, GDD1, LGMDR12
Muscular dystrophy, limb-girdle, autosomal recessive 17 	PLEC1, PLEC, PLTN, LGMDR17, EBS5A, EBS5B, EBS5C, EBS5D
Muscular dystrophy, limb-girdle, autosomal recessive 18 	TRAPPC11, C4orf41, LGMDR18
Muscular dystrophy, limb-girdle, autosomal recessive 2 	DYSF, LGMDR2, MMD1
Muscular dystrophy, limb-girdle, autosomal recessive 23 	LAMA2, LAMM, MDC1A
Muscular dystrophy, limb-girdle, autosomal recessive 25 	BVES, HBVES, POPDC1, LGMDR25
Muscular dystrophy, limb-girdle, autosomal recessive 26 	POPDC3, POP3, LGMDR26
Muscular dystrophy, limb-girdle, autosomal recessive 27 	JAG2, LGMDR27
Muscular dystrophy, limb-girdle, autosomal recessive 3 	SGCA, ADL, DAG2, LGMDR3
Muscular dystrophy, limb-girdle, autosomal recessive 4 	SGCB, LGMDR4
Muscular dystrophy, limb-girdle, autosomal recessive 5 	SGCG, LGMDR5, DMDA1, SCG3
Muscular dystrophy, limb-girdle, autosomal recessive 6 	SGCD, SGD, LGMDR6, CMD1L
Muscular dystrophy, limb-girdle, autosomal recessive 7 	TCAP, LGMDR7, CMH25
Muscular dystrophy, limb-girdle, autosomal recessive 8 	TRIM32, HT2A, LGMDR8, BBS11
Muscular dystrophy, rigid spine, 1 	SELENON, SEPN1, SELN, RSMD1, CFTD
Myasthenia, congenital, 12, with tubular aggregates 	GFPT1, GFAT1, GFPT1L, MSLG, CMS12, CMSTA1
Myasthenic syndrome, congenital, 10 	DOK7, C4orf25, CMS10, FADS3
Myasthenic syndrome, congenital, 11, associated with acetylcholine receptor deficiency 	RAPSN, CMS1D, CMS11, FADS2
Myasthenic syndrome, congenital, 13, with tubular aggregates 	DPAGT1, DPAGT2, DGPT, CDG1J, CMSTA2, CMS13
Myasthenic syndrome, congenital, 14, with tubular aggregates 	ALG2, CDGII, CMSTA3, CMS14
Myasthenic syndrome, congenital, 16 	SCN4A, HYPP, NAC1A, HOKPP2, CMS16
Myasthenic syndrome, congenital, 19 	COL13A1, CMS19
Myasthenic syndrome, congenital, 1A, slow-channel 	CHRNA1, ACHRD, CMS1B, CMS1A
Myasthenic syndrome, congenital, 1B, fast-channel 	CHRNA1, ACHRD, CMS1B, CMS1A
Myasthenic syndrome, congenital, 20, presynaptic 	SLC5A7, CHT1, HMN7A, CMS20
Myasthenic syndrome, congenital, 21, presynaptic 	SLC18A3, VACHT, CMS21
Myasthenic syndrome, congenital, 22 	PREPL, KIAA0436, CMS22
Myasthenic syndrome, congenital, 23, presynaptic 	SLC25A1, SLC20A3, CTP, D2L2AD, CMS23
Myasthenic syndrome, congenital, 24, presynaptic 	MYO9A, CMS24
Myasthenic syndrome, congenital, 25 	VAMP1, SYB1, SPAX1, CMS25
Myasthenic syndrome, congenital, 2A, slow-channel 	CHRNB1, ACHRB, SCCMS, CMS2A, CMS2C
Myasthenic syndrome, congenital, 3B, fast-channel 	CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C
Myasthenic syndrome, congenital, 4A, slow-channel 	CHRNE, SCCMS, CMS4A, CMS4B, CMS4C
Myasthenic syndrome, congenital, 4B, fast-channel 	CHRNE, SCCMS, CMS4A, CMS4B, CMS4C
Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency 	CHRNE, SCCMS, CMS4A, CMS4B, CMS4C
Myasthenic syndrome, congenital, 5 	COLQ, EAD, CMS5
Myasthenic syndrome, congenital, 6, presynaptic 	CHAT, CMS6
Myasthenic syndrome, congenital, 7A, presynaptic, and distal motor neuropathy, autosomal dominant 	SYT2, CMS7A, MYSPC, CMS7B
Myasthenic syndrome, congenital, 7B, presynaptic, autosomal recessive 	SYT2, CMS7A, MYSPC, CMS7B
Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects 	AGRN, CMS8
Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency 	MUSK, CMS9, FADS1
Myelodysplastic syndrome, somatic 	ASXL1, KIAA0978, BOPS, MDS
Myelodysplastic syndrome, somatic 	GNB1, MRD42, MDS
Myeloproliferative disorder with eosinophilia 	PDGFRB, PDGFR, IBGC4, IMF1, PENTT, KOGS
Myhre syndrome 	SMAD4, MADH4, DPC4, JIP, MYHRS
Myoclonic epilepsy, infantile, familial 	TBC1D24, KIAA1171, FIME, DEE16, DOORS, DFNB86, DFNA65, EPRPDC
Myoclonus, intractable, neonatal 	KIF5A, NKHC, SPG10, NEIMY, ALS25
Myofibrillar myopathy 10 	SVIL, MFM10
Myofibrillar myopathy 11 	UNC45B, SMUNC45, CTRCT43, MFM11
Myofibromatosis, infantile, 1 	PDGFRB, PDGFR, IBGC4, IMF1, PENTT, KOGS
Myoglobinuria, acute recurrent, autosomal recessive 	LPIN1
Myokymia 	KCNQ2, EBN1, DEE7, BFNS1
Myopathy with extrapyramidal signs 	MICU1, CBARA1, MPXPS
Myopathy with lactic acidosis, hereditary 	ISCU, HML
Myopathy, X-linked, with excessive autophagy 	VMA21, XMEA
Myopathy, X-linked, with postural muscle atrophy 	FHL1, SLIM1, XMPMA, KYOT, FHL1A, FHL1B, RBMX1A, RBMX1B, FCMSU
Myopathy, actin, congenital, with cores 	ACTA1, ASMA, NEM3, CFTD1, SHPM
Myopathy, actin, congenital, with excess of thin myofilaments 	ACTA1, ASMA, NEM3, CFTD1, SHPM
Myopathy, areflexia, respiratory distress, and dysphagia, early-onset 	MEGF10, KIAA1780, EMARDD
Myopathy, areflexia, respiratory distress, and dysphagia, early-onset, mild variant 	MEGF10, KIAA1780, EMARDD
Myopathy, centronuclear, X-linked 310400 	MTM1, MTMX, CNMX
Myopathy, congenital with structured cores and Z-line abnormalities 	ACTN2, CMD1AA, CMH23, MYOCOZ, MPD6
Myopathy, congenital, Baily-Bloch 	STAC3, NAM, MYPBB
Myopathy, congenital, progressive, with scoliosis 	PAX7, RMS2, MYOSCO
Myopathy, congenital, with diaphragmatic defects, respiratory insufficiency, and dysmorphic facies 	MYOD1, MYF3, MYODRIF
Myopathy, congenital, with fiber-type disproportion 1 	ACTA1, ASMA, NEM3, CFTD1, SHPM
Myopathy, congenital, with fiber-type disproportion 	SELENON, SEPN1, SELN, RSMD1, CFTD
Myopathy, congenital, with fiber-type disproportion 	TPM3, NEM1, CFTD, CAPM1
Myopathy, congenital, with tremor 	MYBPC1, LCCS4, MYOTREM
Myopathy, distal, 4 	FLNC, FLN2, ABPA, ABPL, MFM5, MPD4, CMH26, RCM5
Myopathy, distal, 5 	ADSS1, ADSSL1, MPD5
Myopathy, distal, 6, adult onset 	ACTN2, CMD1AA, CMH23, MYOCOZ, MPD6
Myopathy, distal, 7, adult-onset, X-linked 	SMPX, DFNX4, MPD7
Myopathy, distal, Tateyama type 	CAV3, LQT9, MPDT, RMD2
Myopathy, distal, with anterior tibial onset 	DYSF, LGMDR2, MMD1
Myopathy, distal, with rimmed vacuoles 	SQSTM1, P62, PDB3, FTDALS3, NADGP, DMRV
Myopathy, epilepsy, and progressive cerebral atrophy 	ALG14, CMS15, IDDEBF, MEPCA
Myopathy, lactic acidosis, and sideroblastic anemia 1 	PUS1, MLASA1
Myopathy, lactic acidosis, and sideroblastic anemia 2 	YARS2, TYRRS, MLASA2
Myopathy, mitochondrial progressive, with congenital cataract and developmental delay 	GFER, ERV1, ALR, MPMCD
Myopathy, mitochondrial, and ataxia 	MSTO1, MMYAT
Myopathy, myofibrillar, 1 	DES, CMD1I, MFM1, SCPNK
Myopathy, myofibrillar, 12, infantile-onset, with cardiomyopathy 	MYL2, CMH10, MFM12
Myopathy, myofibrillar, 2 	CRYAB, CRYA2, CTPP2, CMD1II, CTRCT16, MFM2
Myopathy, myofibrillar, 3 	MYOT, TTOD, MFM3
Myopathy, myofibrillar, 4 	LDB3, ZASP, CYPHER, KIAA01613, MFM4, CMD1C, CMH24, LVNC3
Myopathy, myofibrillar, 5 	FLNC, FLN2, ABPA, ABPL, MFM5, MPD4, CMH26, RCM5
Myopathy, myofibrillar, 6 	BAG3, MFM6
Myopathy, myofibrillar, 7 	KY, MFM7
Myopathy, myofibrillar, 8 	PYROXD1, MFM8
Myopathy, myofibrillar, 9, with early respiratory failure 	TTN, CMD1G, TMD, LGMDR10, MPRM, HMERF, SALMY
Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related 	CRYAB, CRYA2, CTPP2, CMD1II, CTRCT16, MFM2
Myopathy, myosin storage, autosomal dominant 	MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD
Myopathy, myosin storage, autosomal recessive 	MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD
Myopathy, spheroid body 	MYOT, TTOD, MFM3
Myopathy, tubular aggregate, 1 	STIM1, TAM1, IMD10, STRMK
Myopathy, tubular aggregate, 2 	ORAI1, TMEM142A, CRACM1, IMD9, TAM2
Myopathy, vacuolar, with CASQ1 aggregates 	CASQ1, VMCQA
Myopia 6 	SCO2, MC4DN2, MYP6
Myotonia congenita, atypical, acetazolamide-responsive 	SCN4A, HYPP, NAC1A, HOKPP2, CMS16
Myotonia congenita, dominant 	CLCN1
Myotonia congenita, recessive 	CLCN1
Myotonia levior, recessive 	CLCN1
Myotonic dystrophy 1 	DMPK, DM, DMK
NESCAV syndrome 	KIF1A, ATSV, UNC104, SPG30, HSN2C, MRD9
Nail-patella syndrome 	LMX1B, NPS1, FSGS10
Nemaline myopathy 1, autosomal dominant or recessive 	TPM3, NEM1, CFTD, CAPM1
Nemaline myopathy 10 	LMOD3, NEM10
Nemaline myopathy 11, autosomal recessive 	MYPN, CMD1DD, CMH22, RCM4, NEM11
Nemaline myopathy 2, autosomal recessive 	NEB, NEM2, AMC6
Nemaline myopathy 3, autosomal dominant or recessive 	ACTA1, ASMA, NEM3, CFTD1, SHPM
Nemaline myopathy 4, autosomal dominant 	TPM2, TMSB, AMCD1, DA1, DA2B4, NEM4
Nemaline myopathy 5, Amish type 	TNNT1, ANM, NEM5
Nemaline myopathy 6, autosomal dominant 	KBTBD13, NEM6
Nemaline myopathy 7, autosomal recessive 	CFL2, NEM7
Nemaline myopathy 8, autosomal recessive 	KLHL40, SYRP, KBTBD5, NEM8
Nemaline myopathy 9 	KLHL41, KBTBD10, SARCOSIN, NEM9
Nephronophthisis 1, juvenile 	NPHP1, NPH1, SLSN1, JBTS4
Nephronophthisis 11 	TMEM67, MKS3, JBTS6, NPHP11
Nephrotic syndrome, type 14 	SGPL1, SPL, NPHS14
Neurodegeneration due to cerebral folate transport deficiency 	FOLR1, NCFTD
Neurodegeneration with ataxia and late-onset optic atrophy 	SDHA, SDH1, SDHF, CMD1GG, PGL5, MC2DN1, NDAXOA
Neurodegeneration with ataxia, dystonia, and gaze palsy, childhood-onset 	SQSTM1, P62, PDB3, FTDALS3, NADGP, DMRV
Neurodegeneration with brain iron accumulation 1 	PANK2, NBIA1, PKAN, HARP
Neurodegeneration with brain iron accumulation 2B 	PLA2G6, IPLA2, INAD1, NBIA2B, NBIA2A, PARK14
Neurodegeneration with brain iron accumulation 3 	FTL, NBIA3, LFTD
Neurodegeneration with brain iron accumulation 4 	C19orf12, NBIA4, SPG43
Neurodegeneration with brain iron accumulation 5 	WDR45, WIPI4, NBIA5
Neurodegeneration with brain iron accumulation 6 	COASY, NBIA6, PCH12
Neurodegeneration, childhood-onset, with ataxia, tremor, optic atrophy, and cognitive decline 	SLC44A1, CTL1, CDW92, CONATOC
Neurodegeneration, childhood-onset, with brain atrophy 	UBTF, UBF, CONDBA
Neurodegeneration, childhood-onset, with cerebellar atrophy 	AGTPBP1, NNA1, KIAA1035, CCP1, CONDCA
Neurodegeneration, infantile-onset, biotin-responsive 	SLC5A6, SMVT, NERIB
Neurodevelopmental disorder with ataxia, hypotonia, and microcephaly 	SVBP, CCDC23, NEDAHM
Neurodevelopmental disorder with cardiomyopathy, spasticity, and brain abnormalities 	SHMT2, GLYA, NEDCASB
Neurodevelopmental disorder with cerebellar atrophy and motor dysfunction 	GEMIN5, NEDCAM
Neurodevelopmental disorder with cerebellar atrophy and with or without seizures 	BRAT1, BAAT1, C7orf27, RMFSL, NEDCAS
Neurodevelopmental disorder with hyperkinetic movements and dyskinesia 	ADCY5, FDFM, DSKOD
Neurodevelopmental disorder with hypotonia and autistic features with or without hyperkinetic movements 	VAMP2, SYB2, NEDHAHM
Neurodevelopmental disorder with hypotonia, neuropathy, and deafness 	SPTBN4, QV, NEDHND, CMND
Neurodevelopmental disorder with impaired intellectual development, hypotonia, and ataxia 	DOCK3, NEDIDHA
Neurodevelopmental disorder with involuntary movements 	GNAO1, DEE17, NEDIM
Neurodevelopmental disorder with microcephaly and spastic paraplegia 	GPT2, ALT2, NEDSPM
Neurodevelopmental disorder with microcephaly, arthrogryposis, and structural brain anomalies 	SMPD4, NSMASE3, KIAA1418, NEDMABA
Neurodevelopmental disorder with microcephaly, impaired language, and gait abnormalities, autosomal recessive 	NARS1, NARS, ASNRS, NEDMILG, NEDMILEG
Neurodevelopmental disorder with microcephaly, impaired language, epilepsy, and gait abnormalities, autosomal dominant 	NARS1, NARS, ASNRS, NEDMILG, NEDMILEG
Neurodevelopmental disorder with or without autistic features and/or structural brain abnormalities 	NOVA2, ANOVA, NEDASB
Neurodevelopmental disorder with or without early-onset generalized epilepsy 	NBEA, NEDEGE
Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal dominant 	GRIN1, NMDAR1, NDHMSR, NDHMSD, DEE101
Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal recessive 	GRIN1, NMDAR1, NDHMSR, NDHMSD, DEE101
Neurodevelopmental disorder with or without variable brain abnormalities 	MAPK8IP3, SYD2, JSAP1, JIP3, NEDBA
Neurodevelopmental disorder with or without variable movement or behavioral abnormalities 	KCNN2, SK2, DYT34, NEDMAB
Neurodevelopmental disorder with progressive spasticity and brain white matter abnormalities 	HPDL, NEDSWMA, SPG83
Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures 	IRF2BPL, C14orf4, EAP1, NEDAMSS
Neurodevelopmental disorder with spastic quadriplegia and brain abnormalities with or without seizures 	WDR45B, WIPI3, WDR45L, NEDSBAS
Neurodevelopmental disorder with spasticity, cataracts, and cerebellar hypoplasia 	MED27, CRSP8, CRAP34, NEDSCAC
Neurodevelopmental disorder with visual defects and brain anomalies 	HK1, HKD, HMSNR, RP79, NEDVIBA
Neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures 	WARS2, NEMMLAS, PKDYS3
Neurofacioskeletal syndrome with or without renal agenesis 	HS2ST1, NFSRA
Neuromuscular disease and ocular or auditory anomalies with or without seizures 	DHX16, DDX16, DBP2, PRP8, NMOAS
Neuromuscular disease, congenital, with uniform type 1 fiber 	RYR1, MHS, CCO, KDS
Neuromyotonia and axonal neuropathy, autosomal recessive 	HINT1, PRKCNH1, NMAN
Neuronal intranuclear inclusion disease 	NOTCH2NLC, NIID, ETM6, OPDM3
Neuronopathy, distal hereditary motor, type IIA 	HSPB8, H11, E2IG1, DHMN2, CMT2L, HMN2A
Neuronopathy, distal hereditary motor, type IIB 	HSPB1, HSP27, CMT2F, HMN2B
Neuronopathy, distal hereditary motor, type IID 	FBXO38, FBX38, MOKA, HMN2D
Neuronopathy, distal hereditary motor, type IX 	WARS1, WARS, HMN9
Neuronopathy, distal hereditary motor, type VA 	GARS1, GARS, SMAD1, CMT2D, HMN5A, SMAJI
Neuronopathy, distal hereditary motor, type VI 	IGHMBP2, SMUBP2, CATF1, SMARD1, HMN6, CMT2S
Neuronopathy, distal hereditary motor, type VIIA 	SLC5A7, CHT1, HMN7A, CMS20
Neuronopathy, distal hereditary motor, type VIIB 	DCTN1, HMN7B
Neuronopathy, distal hereditary motor, type VIII 	TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL, BCYM3
Neuropathy, distal hereditary motor, type VC 	BSCL2, SPG17, HMN5, PELD, HMN5C
Neuropathy, hereditary motor and sensory, Russe type 	HK1, HKD, HMSNR, RP79, NEDVIBA
Neuropathy, hereditary motor and sensory, type VIB 	SLC25A46, HMSN6B, PCH1E
Neuropathy, hereditary motor and sensory, type VIC, with optic atrophy 	PDXK, PNK, PKH, HMSN6C
Neuropathy, hereditary motor, with myopathic features 	VWA1, WARP, HMNMYO
Neuropathy, hereditary sensory and autonomic, type IA 	SPTLC1, LBC1, SPT1, HSN1, HSAN
Neuropathy, hereditary sensory and autonomic, type IC 	SPTLC2, KIAA0526, SPT2, LCB2, HSN1C, NSAN1C
Neuropathy, hereditary sensory and autonomic, type II 	WNK1, PRKWNK1, KDP, PHA2C, HSAN2, HSN2
Neuropathy, hereditary sensory and autonomic, type IIB 	RETREG1, FAM134B, HSAN2B
Neuropathy, hereditary sensory and autonomic, type IID 	SCN9A, NENA, PN1, SFNP, HSAN2D
Neuropathy, hereditary sensory and autonomic, type IX, with developmental delay 	TECPR2, KIAA0329, HSAN9
Neuropathy, hereditary sensory and autonomic, type V 	NGF, NGFB, HSAN5
Neuropathy, hereditary sensory and autonomic, type VII 	SCN11A, HSAN7, FEPS3
Neuropathy, hereditary sensory and autonomic, type VIII 	PRDM12, HSAN8
Neuropathy, hereditary sensory, type ID 	ATL1, SPG3A, HSN1D
Neuropathy, hereditary sensory, type IE 	DNMT1, MCMT, HSN1E, ADCADN
Neuropathy, hereditary sensory, type IF 	ATL3, HSN1F
Neuropathy, hereditary sensory, type IIC 	KIF1A, ATSV, UNC104, SPG30, HSN2C, MRD9
Neuropathy, hereditary sensory, with spastic paraplegia 	CCT5, KIAA0098, CCTE
Neuropathy, hereditary, with or without age-related macular degeneration 	FBLN5, ARMD3, ADCL2, ARCL1A, HNARMD, CMT1H
Neuropathy, recurrent, with pressure palsies 	PMP22, CMT1A, CMT1E, DSS, CIDP
Neutral lipid storage disease with myopathy 	PNPLA2, TTS2, ATGL
Nevus comedonicus, somatic 	NEK9, NERCC1, LCCS10, APUG, NC
Nevus sebaceous or woolly hair nevus, somatic 	HRAS
Nevus, epidermal, somatic 	FGFR3, ACH
Niemann-Pick disease, type C1 	NPC1, NPC
Niemann-Pick disease, type D 	NPC1, NPC
Niemann-pick disease, type C2 	NPC2, HE1
Nonaka myopathy 	GNE, GLCNE, IBM2, DMRV, NM
Occipital horn syndrome 	ATP7A, MNK, MK, OHS, SMAX3
Oculodentodigital dysplasia 	GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP3
Oculodentodigital dysplasia, autosomal recessive 	GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP3
Oculopharyngeal muscular dystrophy 	PABPN1, PABP2, PAB2
Oculopharyngodistal myopathy 1 	LRP12, MIG13A
Oculopharyngodistal myopathy 2 	GIPC1, RGS19IP1, C19orf3, OPDM2
Oculopharyngodistal myopathy 3 	NOTCH2NLC, NIID, ETM6, OPDM3
Ohdo syndrome, X-linked 	MED12, TNRC11, TRAP230, HOPA, KIAA0192, OKS, FGS1, OHDOX, HDKR
Oliver-McFarlane syndrome 	PNPLA6, NTE, SPG39, NTEMND, BNHS, LNMS, OMCS
Opitz-Kaveggia syndrome 	MED12, TNRC11, TRAP230, HOPA, KIAA0192, OKS, FGS1, OHDOX, HDKR
Optic atrophy 1 	OPA1, NTG, NPG, BERHS, MTDPS14
Optic atrophy 12 	AFG3L2, SCA28, SPAX5, OPA12
Optic atrophy 3 with cataract 	OPA3, MGA3
Optic atrophy plus syndrome 	OPA1, NTG, NPG, BERHS, MTDPS14
Optic nerve hypoplasia 	PAX6, AN2, MGDA, FVH1, ASGD5
Orofaciodigital syndrome I 	OFD1, CXorf5, SGBS2, JBTS10, RP23
Orofaciodigital syndrome IV 	TCTN3, TECT3, C10orf61, OFD4, JBTS18
Orofaciodigital syndrome VI 	CPLANE1, C5orf42, JBTS17, OFD6
Osteogenesis imperfecta, type XI 	FKBP10, FKBP65, OI11, BRKS1
Osteogenesis imperfecta, type XXI 	KDELR2, ELP1, OI21
Otopalatodigital syndrome, type I 	FLNA, FLN1, NHBP, OPD1, OPD2, FMD, MNS, CVD1, CSBS, FGS2
Otopalatodigital syndrome, type II 	FLNA, FLN1, NHBP, OPD1, OPD2, FMD, MNS, CVD1, CSBS, FGS2
Ovarian cancer, somatic 	PRKN, PARK2, PDJ
Ovarioleukodystrophy 	EIF2B2
Ovarioleukodystrophy 	EIF2B4
Ovarioleukodystrophy 	EIF2B5, LVWM, CACH, CLE
PCWH syndrome 	SOX10, WS4, WS4C, PCWH
PEPCK deficiency, mitochondrial 	PCK2, PEPCK2
PERCHING syndrome 	KLHL7, RP42, PERCHING
Paget disease of bone 3 	SQSTM1, P62, PDB3, FTDALS3, NADGP, DMRV
Palmoplantar keratoderma with congenital alopecia 	GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP3
Pancreatic cancer, somatic 	SMAD4, MADH4, DPC4, JIP, MYHRS
Paragangliomas 5 	SDHA, SDH1, SDHF, CMD1GG, PGL5, MC2DN1, NDAXOA
Paramyotonia congenita 	SCN4A, HYPP, NAC1A, HOKPP2, CMS16
Parastremmatic dwarfism 	TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL, BCYM3
Parkinson disease 1 	SNCA, NACP, PARK1, PARK4
Parkinson disease 14, autosomal recessive 	PLA2G6, IPLA2, INAD1, NBIA2B, NBIA2A, PARK14
Parkinson disease 15, autosomal recessive 	FBXO7, FBX7, FBX, PKPS, PARK15
Parkinson disease 19a, juvenile-onset 	DNAJC6, DJC6, KIAA0473, PARK19
Parkinson disease 19b, early-onset 	DNAJC6, DJC6, KIAA0473, PARK19
Parkinson disease 20, early-onset 	SYNJ1, PARK20, DEE53
Parkinson disease 22, autosomal dominant 	CHCHD2, PARK22
Parkinson disease 23, autosomal recessive, early onset 	VPS13C, KIAA1421, PARK23
Parkinson disease 4 	SNCA, NACP, PARK1, PARK4
Parkinson disease 6, early onset 	PINK1, PARK6
Parkinson disease 7, autosomal recessive early-onset 	DJ1, PARK7
Parkinson disease, juvenile, type 2 	PRKN, PARK2, PDJ
Parkinsonism with polyneuropathy 	UQCRC1, PKNPY
Parkinsonism-dystonia 3, childhood-onset 	WARS2, NEMMLAS, PKDYS3
Parkinsonism-dystonia, infantile, 1 	SLC6A3, DAT1, PKDYS1
Paroxysmal extreme pain disorder 	SCN9A, NENA, PN1, SFNP, HSAN2D
Paroxysmal nonkinesigenic dyskinesia 1 	PNKD, R1, TAHCCP2, KIPP1184, BRP17, FPD1, PDC, DYT8
Paroxysmal nonkinesigenic dyskinesia, 3, with or without generalized epilepsy 	KCNMA1, SLO, PNKD3, CADEDS, IEG16, LIWAS
Partington syndrome 	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54, MRX43, MRX87, MRX29, MRX32
Pelizaeus-Merzbacher disease 	PLP1, PMD, HLD1, SPG2
Peripheral neuropathy, autosomal recessive, with or without impaired intellectual development 	MCM3AP, MAP80, GANP, PNRIID
Peroxisomal acyl-CoA oxidase deficiency 	ACOX1, ACOX, SCOX, MITCH
Peroxisomal fatty acyl-CoA reductase 1 disorder 	FAR1, MLSTD2, PFCRD, CSPSD
Peroxisome biogenesis disorder 11B 	PEX13, ZWS, NALD, PBD11A, PBD11B
Peroxisome biogenesis disorder 14B 	PEX11B, PEX14B
Peroxisome biogenesis disorder 2B 	PEX5, PXR1, PTS1R, PBD2A, PBD2B, RCDP5
Peroxisome biogenesis disorder 3B 	PEX12, PBD3A
Peroxisome biogenesis disorder 4B 	PEX6, PXAAA1, PAF2, PBD4A, PDB4B, HMLR2
Peroxisome biogenesis disorder 5B 	PEX2, PAF1, PMP35, PBD5A, PBD5B, PXMP3
Peroxisome biogenesis disorder 6B 	PEX10, NALD, PBD6A, PBD6B
Peroxisome biogenesis disorder 7B 	PEX26, PBD7A, PBD7B
Peroxisome biogenesis disorder 8B 	PEX16, PBD8A, PBD8B
Peroxisome biogenesis disorder 9B 	PEX7, RCDP1, PBD9B
Perrault syndrome 3 	CLPP, PRLTS3, DFNB81
Perrault syndrome 4 	LARS2, PRLTS4, HLASA
Perrault syndrome 5 	TWNK, C10orf2, TWINKLE, PEOA3, IOSCA, MTDPS7, PRLTS5
Perry syndrome 	DCTN1, HMN7B
