Gene	pDN	pGOF	pLOF
ACAD9	0.773761297146672	0.696153976723472	0.22219223557067
ACADL	0.725510612816969	0.685862427358035	0.320337586149219
ACADM	0.730993814846768	0.689693526405522	0.342240829543478
ACADS	0.815487696488781	0.756533160533518	0.229005035605696
ACADSB	0.709613939166189	0.707814694270487	0.314917768403069
ACADVL	0.692158433206564	0.644255111214099	0.300481671256235
ACAN	0.507170172243843	0.510583133141864	0.531705241314444
ACAP1	0.6936137652751	0.75544526513937	0.29970210026174
ACAP2	0.432620140758829	0.502204843772671	0.621179669510964
ACAP3	0.672252783535032	0.757692708243208	0.310954604713255
ACAT1	0.762371093618241	0.593615166850068	0.394200441314778
ACAT2	0.741137566435188	0.62532692144343	0.356321442177421
ACBD3	0.578676658021175	0.635216292636222	0.329837238355145
ACBD4	0.738319504232364	0.69490561648495	0.199831348862017
ACBD5	0.688060518307051	0.530403459777444	0.30319775729641
ACBD6	0.585678681452869	0.605125275195574	0.262271200044033
ACBD7	0.665429784220688	0.653718421830039	0.165728477613682
ACCS	0.740630277537432	0.620006425629617	0.230917293029824
ACCSL	0.655746150933977	0.550799149250546	0.346028347124596
ACD	0.466564029333646	0.471895326160734	0.430666023121177
ACE	0.613281758298476	0.690578447625972	0.302405244474487
ACE2	0.497391059763499	0.576111429785347	0.432371963851053
ACER1	0.740866330403862	0.660513832762616	0.205675514557544
ACER2	0.775899529142961	0.702134031782886	0.210389642669919
ACER3	0.692762821036683	0.605849648573488	0.319253994187954
ACHE	0.447194473041138	0.65684860307662	0.457452048288596
ACIN1	0.164975342114878	0.195929492494143	0.863177928816629
ACKR1	0.760865288691962	0.746584595505481	0.24875801559765
ACKR2	0.81041196594504	0.765663979868213	0.194345108987725
ACKR3	0.716183569819386	0.788676603373063	0.284257193609169
ACKR4	0.747810121070733	0.698991261376897	0.242100667389019
ACLY	0.6698524971172	0.579932773190229	0.343234133265227
ACMSD	0.72099643136396	0.696720920774856	0.28941118586723
ACO1	0.632553386813666	0.58251384946286	0.392405883416481
